date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:42	63014/63014	---M--	200	added ('OK')	image/jpeg	etag:%222ddd1912c954d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/mask_29_opt.jpg	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/mask_29_opt.jpg	(from http://davtonia.com/blackcoin/)
00:48:43	10966/10966	---M--	200	added ('OK')	image/png	etag:%22bf2571311b1ed11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/indeks3.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/indeks3.png	(from http://davtonia.com/blackcoin/)
00:48:43	3672/3672	---M--	200	added ('OK')	image/png	etag:%22591b9aacd54d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/usecryptos_opt.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/usecryptos_opt.png	(from http://davtonia.com/blackcoin/)
00:48:44	8927/8927	---M--	200	added ('OK')	image/png	etag:%22dd36edcacd54d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/poloniex_opt.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/poloniex_opt.png	(from http://davtonia.com/blackcoin/)
00:48:44	3899/3899	---M--	200	added ('OK')	image/png	etag:%22213b878bffe2d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/bter.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/bter.png	(from http://davtonia.com/blackcoin/)
00:48:44	7562/7562	---M--	200	added ('OK')	image/png	etag:%22a76224890e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/bittrex.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/bittrex.png	(from http://davtonia.com/blackcoin/)
00:48:46	12573/12573	---M--	200	added ('OK')	image/png	etag:%22411bf1890e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/bittylicious.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/bittylicious.png	(from http://davtonia.com/blackcoin/)
00:48:46	5939/5939	---M--	200	added ('OK')	image/png	etag:%227472bb8a0e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/btc38.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/btc38.png	(from http://davtonia.com/blackcoin/)
00:48:47	16148/16148	---M--	200	added ('OK')	image/png	etag:%226837d8dffe2d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/litebit.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/litebit.png	(from http://davtonia.com/blackcoin/)
00:48:47	7029/7029	---M--	200	added ('OK')	image/png	etag:%22d5d9e312ce54d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/jubi_opt.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/jubi_opt.png	(from http://davtonia.com/blackcoin/)
00:48:47	1469/1469	---M--	200	added ('OK')	image/png	etag:%225520388e0e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/winicon.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/winicon.png	(from http://davtonia.com/blackcoin/)
00:48:48	1605/1605	---M--	200	added ('OK')	image/png	etag:%223319e68c0e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/macicon.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/macicon.png	(from http://davtonia.com/blackcoin/)
00:48:48	3199/3199	---M--	200	added ('OK')	image/png	etag:%226aa2a8c0e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/linuxicon3.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/linuxicon3.png	(from http://davtonia.com/blackcoin/)
00:48:48	1714/1714	---M--	200	added ('OK')	image/png	etag:%2274b5a880e3d01:0%22	http://davtonia.com/blackcoin/wp-content/uploads/androidicon2.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/androidicon2.png	(from http://davtonia.com/blackcoin/)
00:48:54	239004/239004	---M--	200	added ('OK')	image/jpeg	etag:%226727783c441ed11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/logomain.jpg	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/logomain.jpg	(from http://davtonia.com/blackcoin/)
00:48:54	960/960	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2015%20Apr%202016%2007:48:21%20GMT	https://davtonia.com/blackhalo/blackhalo.zip	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackhalo/blackhalo.2a.delayed	(from http://davtonia.com/blackcoin/)
00:49:02	33294/33294	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202016%2007:48:27%20GMT	https://davtonia.com/blackhalo/blackhalo.tar.gz	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackhalo/blackhalo.tar.2b.delayed	(from http://davtonia.com/blackcoin/)
00:49:06	1807/1807	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jan%202015%2005:43:14%20GMT	http://pbs.twimg.com/profile_images/558137796225810432/DDl1q4Tf_normal.jpeg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/558137796225810432/DDl1q4Tf_normal.jpg	(from http://davtonia.com/blackcoin/)
00:49:11	28815/28815	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Apr%202016%2013:04:34%20GMT	http://pbs.twimg.com/media/CgAUoNtUMAAC7Qg.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/media/CgAUoNtUMAAC7Qg.jpg	(from http://davtonia.com/blackcoin/)
00:49:15	56060/56060	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jan%202015%2005:43:14%20GMT	http://pbs.twimg.com/profile_images/558137796225810432/DDl1q4Tf.jpeg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/558137796225810432/DDl1q4Tf.jpg	(from http://davtonia.com/blackcoin/)
00:49:16	399/399	---M--	200	added ('OK')	image/png	etag:%2235dfae3b3023d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/fetch-tweets/asset/image/reply_48x16.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/fetch-tweets/asset/image/reply_48x16.png	(from http://davtonia.com/blackcoin/)
00:49:16	347/347	---M--	200	added ('OK')	image/png	etag:%2235dfae3b3023d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/fetch-tweets/asset/image/retweet_48x16.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/fetch-tweets/asset/image/retweet_48x16.png	(from http://davtonia.com/blackcoin/)
00:49:17	828/828	---M--	200	added ('OK')	image/png	etag:%22fdbaa73b3023d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/fetch-tweets/asset/image/favorite_48x16.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/fetch-tweets/asset/image/favorite_48x16.png	(from http://davtonia.com/blackcoin/)
00:49:22	28806/28806	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Apr%202016%2010:04:47%20GMT	http://pbs.twimg.com/media/Cf_retwUEAEe_sm.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/media/Cf_retwUEAEe_sm.jpg	(from http://davtonia.com/blackcoin/)
00:49:22	2415/2415	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202016%2011:47:15%20GMT	http://pbs.twimg.com/profile_images/720216779574898688/9o8Ksa_M_normal.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/720216779574898688/9o8Ksa_M_normal.jpg	(from http://davtonia.com/blackcoin/)
00:49:25	163935/163935	---M--	200	added ('OK')	application/pdf	etag:%2236470931fabd01:0%22	http://davtonia.com/blackhalo/wp-content/uploads/2014/06/whitepaper_twosided.pdf	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackhalo/wp-content/uploads/2014/06/whitepaper_twosided.pdf	(from http://davtonia.com/blackcoin/)
00:49:26	1959/1959	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Oct%202015%2013:43:36%20GMT	http://pbs.twimg.com/profile_images/659002507318849536/gjAK2got_normal.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/659002507318849536/gjAK2got_normal.jpg	(from http://davtonia.com/blackcoin/)
00:49:26	95204/95204	---M--	200	added ('OK')	application/javascript	etag:%2272672bb557775c8731139dbcb75e47d8%22	http://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/BlackCoin/platform.twitter.com/widgets.js	(from http://davtonia.com/blackcoin/)
00:49:29	18136/18136	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Oct%202015%2013:43:36%20GMT	http://pbs.twimg.com/profile_images/659002507318849536/gjAK2got.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/659002507318849536/gjAK2got.jpg	(from http://davtonia.com/blackcoin/)
00:49:30	4695/4695	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202014%2013:46:00%20GMT	http://pbs.twimg.com/profile_images/471648586627682305/MDHmhdUR_normal.png	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/471648586627682305/MDHmhdUR_normal.png	(from http://davtonia.com/blackcoin/)
00:49:31	29906/29906	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Apr%202016%2007:04:11%20GMT	http://pbs.twimg.com/media/Cf_CJUrWcAAiLnv.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/media/Cf_CJUrWcAAiLnv.jpg	(from http://davtonia.com/blackcoin/)
00:49:32	4695/4695	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202015%2012:33:56%20GMT	http://pbs.twimg.com/profile_images/674930042678468609/7HRslF0M_normal.png	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/674930042678468609/7HRslF0M_normal.png	(from http://davtonia.com/blackcoin/)
00:49:34	25113/25113	---M--	200	added ('OK')	image/png	date:Wed,%2028%20May%202014%2013:46:00%20GMT	http://pbs.twimg.com/profile_images/471648586627682305/MDHmhdUR.png	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/471648586627682305/MDHmhdUR.png	(from http://davtonia.com/blackcoin/)
00:49:36	86406/86406	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Apr%202016%2011:47:15%20GMT	http://pbs.twimg.com/profile_images/720216779574898688/9o8Ksa_M.jpg	C:/My%20Web%20Sites/BlackCoin/pbs.twimg.com/profile_images/720216779574898688/9o8Ksa_M.jpg	(from http://davtonia.com/blackcoin/)
